order_item_id,order_id,product_id,quantity,price
1,1016,20,3,189.4
2,1062,10,3,256.58
3,1299,3,3,307.81
4,1029,38,2,366.2
5,1818,25,4,72.91
6,507,12,1,399.14
7,518,50,1,388.53
8,521,47,1,29.15
9,1821,49,2,87.76
10,1197,39,4,210.68
11,1369,47,2,188.28
12,1116,29,5,417.37
13,1737,29,4,412.32
14,840,49,1,69.88
15,1335,31,3,490.98
16,1310,41,2,191.87
17,1347,47,1,462.65
18,969,8,3,167.26
19,1683,38,1,54.38
20,1721,12,4,488.23
21,1436,45,4,365.45
22,1648,32,5,437.78
23,1452,35,5,473.62
24,1467,16,2,271.06
25,433,29,3,261.52
26,1839,6,1,411.29
27,1924,11,5,444.02
28,392,16,3,219.95
29,473,6,4,496.66
30,1784,6,3,433.59
31,441,49,3,200.92
32,861,21,3,307.36
33,1849,16,4,172.26
34,654,8,5,497.87
35,1986,25,3,303.77
36,1255,38,1,209.54
37,17,23,3,313.22
38,1251,27,2,301.56
39,715,39,3,361.54
40,1256,44,4,87.48
41,782,18,5,93.1
42,1373,9,4,225.92
43,1420,47,2,381.96
44,1770,43,1,473.02
45,866,18,1,401.13
46,1276,7,3,469.27
47,947,32,2,60.65
48,1869,15,2,138.1
49,1396,22,5,447.06
50,1107,34,5,497.28
51,99,45,2,388.76
52,1742,22,4,310.61
53,1359,3,4,230.74
54,114,37,4,168.93
55,1163,4,4,424.9
56,1298,9,3,171.12
57,1185,37,3,110.74
58,1477,26,4,375.95
59,858,36,2,253.56
60,172,7,4,59.27
61,1498,41,1,360.29
62,1112,11,1,282.51
63,1326,46,1,342.83
64,984,15,3,395.36
65,1793,12,4,300.23
66,899,48,3,247.83
67,442,24,1,367.68
68,1702,32,4,359.27
69,1171,40,2,338.8
70,388,15,5,134.83
71,1541,1,2,116.23
72,1305,22,3,35.25
73,1608,22,4,357.59
74,798,2,5,208.83
75,799,13,4,210.76
76,1583,30,2,424.78
77,965,38,3,48.38
78,1101,7,5,91.88
79,834,34,1,135.15
80,418,33,3,244.32
81,182,8,4,250.62
82,1819,9,3,96.09
83,1943,38,3,441.91
84,832,11,4,300.68
85,1235,14,5,327.85
86,2,35,3,471.46
87,414,43,4,293.5
88,658,29,3,371.45
89,421,23,3,245.19
90,54,26,5,430.32
91,1893,48,5,281.63
92,1770,13,2,180.67
93,273,6,1,75.6
94,1161,2,2,462.89
95,1511,15,2,476.19
96,1814,46,1,80.27
97,1118,2,2,254.79
98,1465,4,1,426.29
99,1597,38,1,112.68
100,1938,29,3,267.89
101,1965,12,1,11.74
102,1693,13,3,52.28
103,967,27,2,498.61
104,1418,50,4,435.54
105,1114,6,3,332.01
106,1345,22,1,413.14
107,1089,2,3,272.57
108,1495,14,4,465.36
109,340,38,5,267.63
110,508,50,2,373.5
111,1388,1,4,79.78
112,873,48,1,96.57
113,1918,4,3,472.0
114,1886,8,2,430.33
115,990,12,1,252.51
116,1971,20,5,99.51
117,977,19,5,263.65
118,1535,36,1,98.02
119,1552,17,5,401.51
120,1385,2,1,204.14
121,449,32,5,468.58
122,1391,1,4,17.6
123,881,32,4,246.24
124,736,18,1,353.02
125,673,16,5,180.35
126,1119,40,1,320.33
127,1604,15,5,348.67
128,84,35,5,206.87
129,1797,46,3,412.74
130,1154,13,1,243.79
131,464,11,4,388.23
132,794,49,3,428.03
133,736,20,3,283.91
134,318,35,4,281.8
135,761,22,3,64.8
136,1907,4,3,251.98
137,4,11,4,172.75
138,1017,25,5,405.58
139,1769,8,4,197.65
140,36,30,2,223.82
141,1693,3,5,108.99
142,155,17,5,123.42
143,505,15,5,179.77
144,1,21,4,20.33
145,612,34,5,51.01
146,1048,1,1,462.5
147,1646,37,1,251.45
148,359,11,1,344.92
149,1490,7,3,436.85
150,529,35,4,332.05
151,928,2,2,284.98
152,1922,9,1,384.12
153,24,44,1,65.32
154,331,33,1,307.56
155,473,17,5,162.45
156,1793,34,4,55.01
157,1711,27,4,85.48
158,1703,42,2,286.12
159,1614,48,2,458.92
160,1788,23,1,200.29
161,1939,24,2,399.93
162,911,1,5,109.04
163,663,33,2,158.52
164,1977,45,3,179.43
165,1810,4,2,382.48
166,1304,24,1,155.56
167,915,19,5,362.83
168,1443,11,3,292.03
169,1099,47,4,438.55
170,834,46,5,236.18
