order_id,customer_id,order_date,total_amount
1,73,2025-07-04,86.61
2,472,2026-01-25,616.87
3,438,2025-04-13,652.08
4,418,2025-11-19,924.73
5,140,2026-01-10,327.5
6,190,2025-11-29,834.54
7,107,2026-02-26,630.55
8,343,2025-11-19,100.62
9,309,2026-02-27,432.66
10,496,2026-02-01,69.15
11,54,2026-02-15,246.29
12,232,2026-01-25,943.72
13,140,2025-04-13,129.48
14,343,2026-02-15,660.36
15,335,2025-08-16,677.68
16,102,2025-11-02,893.13
17,102,2025-08-23,95.22
18,241,2026-03-01,184.36
19,7,2025-12-08,732.99
20,216,2026-02-14,724.23
21,355,2026-03-01,634.69
22,11,2026-01-21,430.28
23,443,2026-01-09,621.12
24,15,2025-07-24,739.65
25,18,2025-09-12,797.67
26,215,2025-03-09,637.38
27,391,2025-07-07,169.38
28,63,2025-07-07,169.1
29,55,2025-12-28,919.25
30,257,2025-03-24,832.31
31,247,2025-11-18,473.14
32,318,2025-04-13,864.63
33,39,2026-01-11,728.38
34,487,2025-04-09,819.7
35,466,2025-10-26,582.21
36,308,2025-10-28,490.22
37,171,2025-06-26,61.33
38,64,2025-05-08,217.09
39,375,2025-07-15,520.07
40,421,2025-06-23,442.77
41,265,2025-05-03,439.62
42,395,2025-03-11,267.16
43,348,2025-05-25,487.72
44,86,2026-01-13,227.85
45,340,2025-11-20,355.07
46,11,2025-05-12,812.84
47,110,2025-10-03,566.71
48,491,2025-12-04,82.82
49,26,2025-07-01,948.82
50,221,2025-05-05,928.38
51,451,2025-04-22,325.91
52,220,2025-12-08,718.98
53,432,2025-08-07,298.12
54,188,2025-07-12,998.47
55,13,2025-06-02,975.82
56,222,2025-04-16,239.47
57,465,2025-05-25,972.84
58,101,2025-09-28,442.25
59,338,2025-05-18,551.5
60,180,2025-03-05,473.32
61,419,2025-09-08,752.51
62,273,2025-08-13,218.19
63,44,2026-01-08,822.91
64,152,2025-12-31,371.15
65,12,2025-05-03,530.15
66,226,2025-07-17,219.84
67,380,2025-12-23,825.22
68,266,2025-12-02,170.18
69,245,2025-12-07,353.64
70,407,2026-03-04,655.57
71,76,2026-01-17,766.44
72,76,2025-05-11,704.68
73,394,2026-02-23,658.69
74,138,2025-08-17,146.18
75,142,2026-02-16,896.86
76,393,2026-02-28,958.57
77,175,2025-07-25,494.81
78,418,2026-02-26,243.06
79,47,2025-12-02,390.19
80,462,2025-07-09,36.48
81,375,2025-05-02,233.32
82,188,2025-04-13,28.39
83,158,2025-06-24,787.74
84,42,2025-04-23,512.15
85,103,2025-07-06,477.01
86,386,2025-05-03,915.37
87,397,2025-10-02,438.74
88,500,2025-04-01,808.12
89,27,2025-12-10,445.4
90,500,2025-09-11,585.51
91,487,2025-05-23,570.07
92,365,2026-02-18,565.59
93,142,2026-01-06,644.29
94,468,2026-02-28,175.47
95,25,2025-08-03,786.0
96,135,2026-02-20,430.86
97,207,2025-12-07,299.41
98,142,2025-09-15,424.66
99,437,2025-06-10,286.29
100,217,2025-05-08,191.56
101,453,2025-06-20,723.64
102,230,2025-08-11,114.7
103,45,2026-01-28,665.8
104,422,2025-03-21,570.88
105,205,2025-12-08,822.21
106,121,2025-09-16,798.93
107,491,2025-04-02,244.61
108,229,2025-04-01,253.91
109,287,2025-05-03,31.82
110,6,2025-09-10,219.61
111,44,2025-08-21,130.69
112,483,2025-09-30,409.43
113,274,2025-09-11,740.33
114,107,2025-12-13,582.0
115,476,2025-04-15,831.77
116,319,2025-07-05,799.81
117,44,2025-04-10,68.69
118,467,2026-02-06,117.52
119,415,2025-06-29,570.92
120,446,2025-11-28,763.0
121,34,2025-07-21,771.16
122,471,2025-08-20,587.21
123,319,2025-12-19,997.52
124,71,2025-05-13,983.99
125,113,2025-09-15,733.12
126,427,2025-11-17,885.1
127,149,2025-04-19,171.88
128,142,2025-07-06,976.53
129,263,2026-01-27,119.91
130,480,2026-01-11,99.93
131,31,2026-01-12,588.51
132,145,2025-12-13,429.12
133,484,2025-12-13,390.83
134,379,2025-07-27,692.48
135,271,2025-10-25,474.21
136,161,2025-12-15,510.38
137,7,2025-12-07,167.94
138,379,2026-03-01,419.91
139,146,2026-03-05,429.17
140,103,2025-11-17,92.6
141,148,2025-11-05,695.33
142,215,2025-10-16,755.01
143,160,2025-08-14,249.41
144,376,2025-08-17,219.61
145,474,2025-12-30,964.62
146,152,2025-04-07,791.41
147,278,2025-06-24,336.16
148,243,2025-05-13,295.96
149,69,2026-03-03,759.94
150,408,2025-06-15,815.48
151,29,2025-04-28,909.49
152,456,2025-10-29,137.67
153,259,2026-01-24,559.54
154,406,2025-08-24,184.3
155,269,2025-09-19,142.1
156,415,2025-07-07,279.32
157,162,2025-11-30,373.28
158,168,2025-11-19,733.62
159,39,2025-11-22,583.26
160,358,2025-03-22,489.37
161,489,2026-01-29,594.93
162,342,2025-05-04,208.27
163,103,2025-06-06,545.9
164,235,2025-06-07,364.21
165,451,2025-12-27,809.68
166,485,2025-11-30,180.36
167,176,2025-11-11,395.01
168,304,2026-02-13,258.9
169,354,2025-06-23,512.54
170,178,2025-08-24,777.61
171,301,2025-11-13,589.68
172,443,2025-05-13,167.89
173,314,2026-03-02,443.21
174,385,2025-04-14,405.11
175,72,2025-11-27,301.36
176,115,2026-02-17,763.51
177,452,2025-09-30,901.36
178,151,2025-07-14,966.54
179,499,2025-03-13,912.01
180,145,2025-06-29,93.56
181,448,2025-04-22,920.79
182,150,2025-11-07,269.11
183,4,2026-02-04,758.98
184,111,2025-09-24,812.04
185,279,2025-09-26,58.09
186,300,2025-12-20,649.54
187,184,2025-12-04,21.65
188,185,2025-07-08,678.25
189,293,2025-09-28,719.21
190,99,2025-10-03,291.6
191,120,2025-04-09,190.33
192,239,2025-10-11,304.29
193,340,2025-09-21,883.02
194,24,2025-08-20,224.53
195,216,2025-07-05,75.96
196,326,2025-10-29,986.7
197,380,2025-09-09,119.88
198,45,2025-06-29,865.01
199,460,2025-11-20,413.7
200,338,2025-03-28,529.1
201,158,2025-10-08,741.44
202,303,2025-06-04,387.19
203,297,2025-04-30,394.58
204,66,2025-05-30,715.83
205,461,2025-09-28,539.26
206,230,2025-11-09,982.94
207,157,2026-03-02,389.19
208,52,2025-10-29,716.33
209,305,2025-03-16,709.96
210,458,2025-06-26,95.23
211,368,2025-04-28,996.9
212,382,2025-11-04,415.97
213,437,2025-05-10,738.3
214,165,2026-02-23,140.39
215,163,2025-11-11,902.94
216,73,2026-02-13,159.01
217,68,2025-10-10,995.78
218,402,2025-08-09,66.95
219,470,2025-08-28,787.59
220,286,2025-03-23,365.07
221,312,2025-10-25,551.9
222,25,2025-06-26,197.46
223,147,2025-07-03,675.69
224,468,2025-06-15,331.6
225,371,2025-06-11,850.49
226,321,2026-02-18,183.28
227,255,2025-05-03,213.93
228,48,2025-12-08,544.26
229,120,2025-07-12,665.87
230,25,2025-08-27,839.4
231,69,2025-08-19,916.85
232,117,2026-02-26,442.04
233,272,2025-06-03,962.73
234,230,2025-04-18,536.39
235,287,2026-01-02,916.55
236,380,2026-01-20,32.13
237,427,2025-06-18,907.83
238,420,2025-04-02,475.49
239,223,2025-10-11,886.72
240,146,2025-12-01,143.12
241,183,2025-04-29,953.21
242,249,2025-11-20,618.73
243,44,2025-03-16,927.42
244,379,2025-06-27,609.0
245,498,2025-04-15,557.24
246,139,2025-09-17,915.4
247,331,2025-03-28,163.97
248,227,2025-04-27,416.51
249,311,2025-09-12,792.01
250,148,2025-07-28,320.19
251,451,2025-10-30,956.14
252,371,2026-03-03,842.28
253,457,2026-02-08,346.93
254,379,2026-02-16,878.68
255,445,2025-09-15,845.81
256,30,2025-10-05,659.28
257,11,2025-05-29,671.43
258,480,2025-07-16,611.47
259,161,2026-02-08,270.79
260,114,2025-06-07,760.07
261,42,2025-05-20,533.83
262,111,2026-01-21,599.46
263,1,2026-02-20,179.81
264,254,2025-11-22,70.08
265,340,2025-11-29,670.77
266,48,2025-04-15,727.59
267,13,2025-08-31,315.73
268,79,2025-06-27,549.18
269,40,2025-09-11,559.72
270,494,2025-05-25,581.12
271,462,2025-09-14,57.59
272,303,2025-07-18,427.6
273,230,2025-07-22,352.41
274,160,2025-07-06,360.17
275,293,2025-12-25,934.06
276,266,2025-10-03,843.25
277,33,2025-08-09,333.66
278,167,2025-07-24,668.06
279,21,2026-01-30,638.05
280,490,2025-04-27,282.85
281,69,2025-08-01,186.76
282,201,2025-04-11,292.25
283,39,2025-12-29,162.42
284,84,2025-09-07,806.24
285,354,2025-11-28,215.25
286,307,2025-11-22,376.95
287,166,2025-05-27,635.17
288,180,2025-12-02,453.59
289,378,2025-08-03,524.57
290,455,2026-01-07,139.19
291,237,2025-09-19,341.66
292,414,2025-07-08,311.72
293,500,2025-12-18,652.64
294,255,2025-10-10,52.31
295,1,2025-10-31,771.45
296,268,2025-04-06,112.91
297,163,2025-06-24,683.65
298,262,2025-05-05,730.48
299,325,2025-09-21,950.85
300,114,2025-10-16,468.05
301,455,2025-12-30,681.54
302,167,2026-03-04,952.93
303,163,2025-08-21,739.0
304,266,2026-02-12,631.19
305,23,2025-10-24,588.53
306,181,2025-04-24,621.01
307,171,2025-05-08,623.61
308,494,2026-02-06,968.28
309,275,2026-01-14,34.18
310,454,2025-03-16,180.67
311,347,2025-03-29,47.17
312,295,2025-06-02,485.85
313,421,2025-09-08,104.64
314,278,2025-08-21,86.09
315,126,2025-04-20,34.75
316,148,2025-05-27,137.39
317,179,2025-12-03,657.68
318,453,2025-08-08,312.08
319,446,2026-01-20,135.89
320,204,2025-07-17,780.23
321,109,2025-07-07,839.05
322,394,2025-11-19,599.23
323,300,2025-07-21,232.33
324,226,2025-07-13,49.45
325,212,2026-01-15,926.36
326,239,2025-09-09,43.29
327,398,2025-06-09,180.28
328,118,2025-07-06,146.78
329,488,2025-11-29,451.68
330,423,2026-02-04,541.8
331,474,2025-03-19,194.55
332,160,2026-02-20,200.73
333,225,2025-12-28,116.11
334,287,2025-05-19,901.72
335,228,2025-06-02,638.03
336,150,2025-06-01,30.81
337,382,2025-10-30,363.4
338,181,2026-01-13,824.36
339,317,2026-02-21,348.01
340,198,2025-10-24,411.57
341,83,2025-03-21,186.09
342,62,2025-09-06,834.13
343,236,2026-02-13,831.29
344,217,2025-12-26,695.65
345,270,2025-09-21,299.55
346,281,2025-06-21,370.33
347,272,2025-05-04,563.17
348,194,2025-07-30,633.38
349,476,2025-12-15,497.02
350,234,2026-01-22,825.04
351,329,2025-05-31,470.14
352,489,2025-11-12,172.11
353,362,2026-01-02,843.12
354,344,2025-08-29,595.09
355,199,2025-12-07,375.11
356,397,2025-10-20,328.55
357,239,2025-11-16,211.4
358,128,2025-12-28,730.77
359,398,2025-08-31,602.82
360,123,2025-10-07,423.08
361,422,2025-07-01,156.2
362,284,2025-06-14,362.88
363,285,2025-07-22,862.07
364,19,2025-11-05,508.64
365,160,2025-12-23,425.7
366,213,2025-05-21,856.65
367,91,2025-11-09,549.05
368,268,2026-01-07,584.68
369,126,2025-10-02,774.26
370,320,2026-02-10,122.43
371,498,2025-10-06,215.97
372,10,2025-08-23,97.15
373,78,2025-10-10,644.44
374,409,2025-10-05,228.4
375,411,2025-06-10,62.28
376,325,2025-11-23,263.24
377,13,2025-12-06,728.9
378,260,2025-04-20,700.16
379,39,2025-03-31,905.08
380,384,2025-11-16,513.03
381,224,2025-06-06,849.85
382,244,2025-06-26,134.96
383,115,2025-08-23,255.36
384,233,2025-08-16,478.44
385,478,2025-06-18,714.83
386,296,2025-12-19,983.55
387,138,2025-09-02,843.38
388,337,2025-10-21,304.65
389,210,2026-02-10,639.06
390,330,2025-07-07,614.48
391,334,2025-04-07,995.89
392,34,2025-05-24,813.32
393,400,2025-08-17,537.49
394,171,2025-03-11,460.96
395,74,2026-03-03,692.03
396,136,2025-03-14,191.8
397,486,2026-03-01,206.42
398,360,2026-02-19,472.32
399,125,2026-01-02,568.02
400,457,2025-07-26,945.06
401,362,2026-01-28,715.64
402,429,2025-07-02,667.9
403,277,2026-02-06,929.15
404,129,2025-11-02,454.68
405,152,2025-04-15,773.73
406,325,2025-11-20,448.03
407,371,2025-03-13,505.78
408,45,2025-05-01,239.35
409,201,2025-07-08,850.16
410,421,2025-05-17,972.98
411,102,2025-07-01,320.64
412,281,2026-02-09,211.77
413,101,2025-10-07,235.45
414,493,2025-09-18,707.91
415,451,2025-12-30,334.66
416,286,2025-05-26,147.37
417,364,2025-07-13,439.17
418,189,2025-12-22,490.55
419,160,2025-09-08,84.19
420,467,2025-07-02,799.06
421,84,2025-05-01,667.16
422,28,2025-06-25,393.61
423,396,2025-06-24,259.32
424,465,2026-02-27,26.95
425,56,2025-07-21,641.04
426,418,2025-11-17,566.83
427,178,2025-04-04,193.9
428,305,2025-08-22,605.08
429,187,2025-08-27,752.86
430,107,2026-02-02,525.32
431,358,2025-11-06,574.07
432,316,2025-12-05,543.64
433,112,2025-05-25,158.3
434,150,2025-04-27,589.28
435,237,2025-03-21,402.98
436,311,2026-01-15,821.63
437,2,2026-03-04,240.83
438,435,2025-06-25,439.07
439,223,2025-07-22,798.72
440,24,2025-03-27,836.42
441,484,2025-03-17,134.91
442,315,2025-05-12,490.55
443,374,2025-08-17,823.8
444,435,2025-06-09,347.08
445,275,2025-11-18,405.29
446,182,2025-12-30,74.89
447,293,2026-02-06,339.02
448,267,2026-01-13,915.29
449,462,2025-12-25,675.78
450,158,2025-06-17,579.29
451,80,2025-08-01,44.72
452,422,2026-02-13,897.0
453,481,2025-11-17,480.14
454,410,2025-07-08,96.47
455,306,2025-10-15,950.32
456,271,2025-07-25,640.76
457,165,2025-03-29,360.81
458,265,2025-08-19,228.49
459,232,2026-01-30,138.89
460,257,2025-07-16,694.43
461,373,2025-05-06,114.64
462,288,2025-08-12,308.32
463,15,2025-03-26,42.83
464,470,2025-07-18,996.49
465,256,2025-05-06,477.92
466,24,2026-02-13,831.4
467,116,2025-09-03,191.85
468,428,2025-05-26,585.13
469,282,2025-05-18,842.63
470,226,2025-04-07,999.28
471,18,2025-10-18,738.65
472,392,2025-09-28,165.73
473,382,2025-07-26,165.74
474,422,2026-02-18,449.07
475,290,2025-03-30,462.53
476,72,2025-10-24,135.95
477,198,2025-10-29,795.73
478,370,2026-02-14,384.93
479,198,2026-01-29,664.34
480,298,2025-07-26,510.61
481,169,2026-01-24,191.45
482,414,2025-03-13,659.48
483,478,2025-10-11,401.45
484,228,2025-10-01,586.01
485,51,2025-08-16,517.38
486,328,2025-04-03,303.48
487,478,2025-06-17,899.24
488,70,2025-07-26,873.15
489,49,2026-01-22,922.51
490,170,2025-05-03,760.59
491,346,2025-07-03,418.14
492,235,2025-10-29,231.33
493,101,2025-03-08,569.8
494,59,2025-12-24,820.97
495,238,2025-05-03,39.47
496,88,2025-05-22,443.18
497,165,2026-03-05,140.75
498,490,2025-06-14,318.68
499,305,2025-06-28,276.47
500,373,2025-05-13,893.18
501,164,2026-02-26,512.01
502,151,2025-06-24,974.34
503,350,2025-04-27,20.95
