payment_id,order_id,payment_method,payment_value
1,331,Boleto,550.67
2,1180,Pix,633.48
3,417,Pix,834.26
4,1063,Pix,737.11
5,839,Debit Card,615.02
6,1879,Credit Card,568.31
7,1581,Boleto,468.96
8,834,Pix,559.03
9,814,Boleto,901.58
10,1441,Boleto,751.56
11,442,Credit Card,995.05
12,414,Credit Card,467.91
13,1607,Debit Card,774.42
14,589,Debit Card,999.66
15,106,Boleto,958.64
16,1439,Boleto,629.06
17,462,Credit Card,388.75
18,1948,Credit Card,391.81
19,1965,Pix,702.61
20,1001,Debit Card,776.19
21,714,Boleto,392.2
22,503,Boleto,989.22
23,700,Pix,974.16
24,1006,Debit Card,185.4
25,674,Boleto,923.11
26,654,Pix,500.75
27,1197,Debit Card,178.75
28,590,Pix,38.89
29,85,Debit Card,691.19
30,892,Boleto,131.67
31,281,Pix,514.95
32,1231,Credit Card,566.42
33,1870,Debit Card,797.61
34,647,Boleto,631.85
35,932,Credit Card,316.19
36,1027,Pix,73.64
37,6,Debit Card,202.24
38,121,Credit Card,117.73
39,614,Pix,668.85
40,263,Credit Card,104.4
41,909,Pix,955.93
42,990,Credit Card,247.19
43,1771,Boleto,935.04
44,1021,Boleto,531.75
45,1045,Credit Card,305.24
46,605,Pix,345.27
47,78,Debit Card,554.08
48,1911,Credit Card,627.64
49,72,Debit Card,721.67
50,1054,Boleto,482.3
51,674,Pix,175.22
52,1062,Pix,474.36
53,1477,Debit Card,167.11
54,1540,Boleto,564.12
55,1532,Credit Card,836.53
56,319,Pix,478.65
57,1914,Debit Card,971.47
58,568,Boleto,757.95
59,527,Credit Card,103.82
60,1788,Boleto,76.39
61,261,Debit Card,327.51
62,231,Pix,537.19
63,166,Boleto,918.25
64,1906,Pix,882.18
65,736,Pix,404.68
66,1213,Debit Card,947.63
67,1615,Pix,833.43
68,514,Boleto,434.32
69,1865,Debit Card,203.4
70,406,Credit Card,510.67
71,1751,Debit Card,542.31
72,1448,Credit Card,706.58
73,1924,Boleto,809.06
74,1133,Pix,842.03
75,499,Boleto,542.07
76,1301,Pix,973.54
77,1732,Credit Card,624.45
78,749,Credit Card,152.19
79,1204,Credit Card,48.64
80,645,Pix,126.35
81,836,Pix,541.17
82,175,Credit Card,103.3
83,543,Credit Card,978.64
84,1277,Pix,593.06
85,682,Boleto,967.42
86,1103,Boleto,532.73
87,603,Credit Card,149.57
88,1378,Debit Card,743.02
89,809,Debit Card,77.42
90,1462,Debit Card,391.01
91,287,Pix,852.7
92,368,Pix,385.17
93,49,Boleto,585.28
94,328,Pix,306.76
95,470,Credit Card,488.77
96,1511,Debit Card,120.01
97,172,Credit Card,559.27
98,878,Pix,573.42
99,1375,Debit Card,541.47
100,1952,Debit Card,535.3
101,1472,Boleto,232.76
102,1436,Credit Card,683.64
103,1296,Pix,358.86
104,1927,Pix,162.21
105,1246,Debit Card,835.8
106,371,Debit Card,383.13
107,1905,Pix,857.02
108,1160,Pix,260.52
109,855,Boleto,424.75
110,1272,Credit Card,852.39
111,1014,Boleto,801.0
112,454,Debit Card,250.23
113,1529,Debit Card,116.51
114,861,Credit Card,720.25
115,438,Debit Card,478.63
116,1291,Boleto,694.33
117,1584,Debit Card,69.54
118,1015,Debit Card,296.45
119,1005,Credit Card,57.67
120,1658,Boleto,747.3
121,436,Debit Card,54.7
122,1952,Debit Card,235.72
123,198,Pix,618.9
124,1055,Pix,321.77
125,678,Credit Card,833.16
126,1758,Boleto,821.26
127,326,Boleto,128.99
128,1359,Credit Card,333.06
129,365,Debit Card,645.5
130,976,Debit Card,533.41
131,189,Debit Card,527.82
132,1785,Boleto,379.91
133,41,Pix,63.56
134,1976,Boleto,428.83
135,74,Boleto,79.82
136,798,Credit Card,482.29
137,1099,Debit Card,699.86
138,1306,Debit Card,599.77
139,1524,Boleto,959.63
140,1119,Pix,600.0
141,70,Credit Card,696.26
142,19,Debit Card,307.42
143,1347,Credit Card,718.18
144,1834,Credit Card,549.06
145,1464,Credit Card,957.05
146,190,Debit Card,880.33
147,1333,Boleto,718.35
148,1224,Credit Card,382.03
149,864,Debit Card,321.24
150,674,Debit Card,467.14
151,66,Debit Card,357.07
152,60,Credit Card,484.08
153,377,Credit Card,934.6
154,1837,Credit Card,799.79
155,1034,Pix,720.36
156,1218,Debit Card,730.83
157,1103,Pix,872.93
158,474,Credit Card,297.59
159,1563,Debit Card,140.61
160,1495,Boleto,908.11
161,586,Boleto,651.53
162,907,Boleto,36.28
163,1368,Debit Card,111.46
164,1509,Debit Card,919.62
165,395,Credit Card,356.19
166,829,Debit Card,828.27
167,124,Credit Card,504.9
168,388,Credit Card,331.37
169,890,Pix,474.06
170,493,Credit Card,357.69
171,1046,Credit Card,547.57
172,1394,Boleto,300.26
173,495,Credit Card,301.88
174,419,Pix,857.05
175,1759,Pix,252.97
176,210,Debit Card,895.04
177,1037,Boleto,569.57
178,228,Credit Card,143.58
179,71,Boleto,203.3
180,700,Boleto,925.3
181,1702,Pix,676.75
182,1489,Credit Card,273.2
183,91,Boleto,342.85
184,1196,Credit Card,584.82
185,954,Debit Card,365.12
186,1756,Credit Card,530.75
187,501,Boleto,825.22
188,391,Boleto,54.57
189,1131,Debit Card,431.58
190,352,Debit Card,932.21
191,1080,Credit Card,899.29
192,154,Pix,797.3
193,474,Pix,91.49
194,201,Pix,200.54
195,1535,Boleto,52.36
196,1704,Credit Card,569.51
197,1229,Pix,730.92
198,989,Credit Card,803.42
199,1859,Boleto,714.61
200,1229,Pix,650.02
201,485,Pix,870.08
202,1189,Credit Card,805.58
203,488,Boleto,518.35
204,1363,Debit Card,537.09
205,537,Credit Card,442.64
206,1076,Debit Card,421.04
207,654,Debit Card,171.27
208,1023,Credit Card,324.01
209,555,Boleto,692.4
210,1142,Credit Card,164.96
211,1501,Boleto,143.7
212,1544,Pix,284.97
213,660,Boleto,250.36
214,559,Credit Card,799.47
215,320,Boleto,738.45
216,1819,Boleto,344.75
217,242,Boleto,849.23
218,472,Credit Card,675.69
219,360,Credit Card,328.26
220,997,Pix,511.25
221,1649,Boleto,405.84
222,1478,Pix,22.46
223,1856,Pix,679.18
224,536,Debit Card,89.14
225,1792,Pix,229.74
226,1787,Credit Card,66.43
227,1426,Debit Card,312.2
228,169,Pix,529.42
229,1509,Pix,474.03
230,1786,Debit Card,421.45
231,565,Credit Card,118.99
232,277,Boleto,769.0
233,1265,Pix,979.89
234,963,Boleto,335.25
235,1075,Pix,464.41
236,583,Debit Card,308.85
237,547,Pix,54.1
238,275,Debit Card,778.83
239,1696,Boleto,809.54
240,1503,Debit Card,227.21
241,1315,Debit Card,672.68
242,174,Boleto,672.61
243,1505,Pix,89.98
244,1891,Boleto,891.24
245,306,Credit Card,830.94
246,1282,Credit Card,658.3
247,425,Debit Card,736.68
248,1362,Boleto,538.88
249,66,Boleto,904.72
250,502,Debit Card,655.14
251,1733,Pix,407.48
252,104,Boleto,540.77
253,1017,Boleto,932.43
254,1010,Debit Card,468.86
255,114,Boleto,42.48
256,1455,Boleto,844.0
257,1910,Debit Card,392.53
258,1344,Credit Card,748.81
259,1640,Credit Card,712.32
260,417,Pix,71.65
261,1852,Boleto,347.02
262,1760,Pix,954.65
263,259,Debit Card,523.05
264,1651,Pix,633.52
265,1760,Pix,396.84
266,987,Credit Card,657.01
267,1139,Debit Card,535.48
268,601,Pix,529.97
269,647,Debit Card,515.58
270,1496,Credit Card,207.75
271,640,Boleto,714.14
272,961,Boleto,351.75
273,806,Boleto,278.2
274,346,Credit Card,548.35
275,392,Boleto,185.39
276,1613,Boleto,735.92
277,227,Boleto,754.53
278,1613,Pix,30.76
279,306,Credit Card,704.19
280,824,Boleto,361.24
281,787,Boleto,293.41
282,1348,Credit Card,959.51
283,1024,Boleto,146.0
