product_id,product_name,category,price
1,With,Beauty,53.97
2,Head,Clothing,181.66
3,Bit,Sports,112.36
4,My,Electronics,128.72
5,American,Clothing,180.57
6,Tax,Sports,303.31
7,Light,Sports,94.52
8,Professional,Sports,499.38
9,Cause,Electronics,135.22
10,Deep,Sports,12.9
11,Special,Sports,431.96
12,Tough,Beauty,79.75
13,Start,Clothing,143.72
14,Surface,Home,403.73
15,List,Sports,479.15
16,Machine,Sports,440.94
17,Opportunity,Home,113.75
18,Account,Beauty,51.35
19,Oil,Beauty,29.75
20,Be,Sports,230.38
21,You,Clothing,129.9
22,Sport,Clothing,231.61
23,Actually,Sports,438.27
24,More,Sports,460.48
25,Someone,Home,291.06
26,Factor,Clothing,347.23
27,Explain,Sports,435.45
28,Onto,Home,316.39
29,Without,Electronics,415.95
30,Stage,Beauty,190.08
31,Away,Sports,229.57
32,Laugh,Home,476.5
33,After,Home,83.57
34,Ask,Sports,310.4
35,Nothing,Beauty,335.11
36,Fish,Electronics,379.19
37,Moment,Beauty,493.65
38,Reveal,Clothing,51.1
39,Peace,Electronics,13.77
40,Hand,Sports,11.54
41,Man,Electronics,483.93
42,Perhaps,Electronics,324.16
43,Citizen,Home,338.72
44,Probably,Sports,255.36
45,Nice,Sports,43.75
46,Material,Home,293.99
47,Open,Clothing,390.04
48,Plan,Beauty,36.6
49,Walk,Clothing,75.68
50,For,Electronics,271.84
